feature,importance
NEW_RATIO_BURO_CREDIT_CURRENCY_currency 4_MEAN,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_5,0.0
ACTIVE_CREDIT_CURRENCY_currency 4_MEAN,0.0
ACTIVE_CREDIT_CURRENCY_currency 3_MEAN,0.0
FLAG_DOCUMENT_4,0.0
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0.0
FLAG_DOCUMENT_9,0.0
PREV_PRODUCT_COMBINATION_nan_MEAN,0.0
ACTIVE_CREDIT_CURRENCY_currency 2_MEAN,0.0
NEW_RATIO_BURO_CREDIT_DAY_OVERDUE_MAX,0.0
FLAG_CONT_MOBILE,0.0
NEW_RATIO_BURO_CREDIT_CURRENCY_nan_MEAN,0.0
ACTIVE_CREDIT_CURRENCY_currency 1_MEAN,0.0
ACTIVE_CREDIT_ACTIVE_nan_MEAN,0.0
PREV_PRODUCT_COMBINATION_POS others without interest_MEAN,0.0
FLAG_EMP_PHONE,0.0
FLAG_MOBIL,0.0
ACTIVE_CREDIT_CURRENCY_nan_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Unknown type of loan_MEAN,0.0
ACTIVE_CREDIT_TYPE_Interbank credit_MEAN,0.0
ACTIVE_CREDIT_TYPE_Loan for business development_MEAN,0.0
ACTIVE_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,0.0
ACTIVE_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,0.0
ACTIVE_CREDIT_TYPE_Loan for working capital replenishment_MEAN,0.0
ACTIVE_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,0.0
ACTIVE_CREDIT_TYPE_Mobile operator loan_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Real estate loan_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_nan_MEAN,0.0
ACTIVE_CREDIT_TYPE_Real estate loan_MEAN,0.0
ACTIVE_CREDIT_TYPE_Another type of loan_MEAN,0.0
ACTIVE_CREDIT_TYPE_Unknown type of loan_MEAN,0.0
PREV_NAME_PORTFOLIO_nan_MEAN,0.0
ACTIVE_CREDIT_TYPE_nan_MEAN,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
NEW_RATIO_BURO_CREDIT_CURRENCY_currency 3_MEAN,0.0
NAME_CONTRACT_STATUS_Active,0.0
ACTIVE_CREDIT_ACTIVE_Closed_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,0.0
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0.0
PREV_CHANNEL_TYPE_nan_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Interbank credit_MEAN,0.0
NEW_RATIO_BURO_CREDIT_ACTIVE_Active_MEAN,0.0
PREV_CHANNEL_TYPE_Car dealer_MEAN,0.0
NEW_RATIO_BURO_CREDIT_ACTIVE_Bad debt_MEAN,0.0
PREV_NAME_SELLER_INDUSTRY_Jewelry_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,0.0
PREV_NAME_SELLER_INDUSTRY_MLM partners_MEAN,0.0
PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0.0
PREV_NAME_SELLER_INDUSTRY_nan_MEAN,0.0
ACTIVE_CREDIT_ACTIVE_Sold_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Loan for working capital replenishment_MEAN,0.0
NEW_RATIO_BURO_CREDIT_ACTIVE_Closed_MEAN,0.0
NEW_RATIO_BURO_CREDIT_CURRENCY_currency 2_MEAN,0.0
NEW_RATIO_BURO_CREDIT_CURRENCY_currency 1_MEAN,0.0
ACTIVE_CREDIT_ACTIVE_Bad debt_MEAN,0.0
NEW_RATIO_BURO_CREDIT_ACTIVE_nan_MEAN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Mobile operator loan_MEAN,0.0
ACTIVE_CREDIT_ACTIVE_Active_MEAN,0.0
PREV_NAME_YIELD_GROUP_nan_MEAN,0.0
NEW_RATIO_BURO_CREDIT_ACTIVE_Sold_MEAN,0.0
PREV_NAME_CLIENT_TYPE_XNA_MEAN,1.1093859672546387
CLOSED_CNT_CREDIT_PROLONG_SUM,1.1276780128479005
PREV_NAME_CASH_LOAN_PURPOSE_Payments on other loans_MEAN,1.425242042541504
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,1.7906480789184571
NEW_RATIO_BURO_CREDIT_TYPE_Loan for business development_MEAN,2.217389965057373
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,2.2731199264526367
PREV_CODE_REJECT_REASON_CLIENT_MEAN,2.344659996032715
BURO_CNT_CREDIT_PROLONG_SUM,2.5634779930114746
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,2.568880081176758
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,2.6162319660186766
BURO_CREDIT_DAY_OVERDUE_MEAN,3.0979060173034667
FLAG_DOCUMENT_6,3.3620201110839845
CLOSED_CREDIT_TYPE_Loan for business development_MEAN,3.4231639862060548
EMERGENCYSTATE_MODE,3.7403539657592773
ACTIVE_DAYS_ENDDATE_FACT_MEAN,3.90010404586792
PREV_NAME_TYPE_SUITE_Group of people_MEAN,3.940060043334961
PREV_NAME_GOODS_CATEGORY_Other_MEAN,4.5443699836730955
NEW_RATIO_BURO_MONTHS_BALANCE_MAX_MAX,5.136901950836181
NEW_DOC_IND_STD,5.298320007324219
FLAG_DOCUMENT_11,5.489804077148437
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,5.681464004516601
REG_REGION_NOT_LIVE_REGION,6.376444005966187
CLOSED_CREDIT_TYPE_Mortgage_MEAN,6.605111885070801
CC_CNT_DRAWINGS_CURRENT_MIN,7.488954162597656
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN,8.951745986938477
CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,10.454190254211426
BURO_CREDIT_TYPE_Loan for business development_MEAN,11.257878017425536
PREV_CODE_REJECT_REASON_XNA_MEAN,12.269351959228516
LIVE_REGION_NOT_WORK_REGION,12.703190135955811
PREV_CODE_REJECT_REASON_VERIF_MEAN,13.996720027923583
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,14.16213779449463
CC_CNT_INSTALMENT_MATURE_CUM_MIN,14.331887912750243
CC_COUNT,14.44739990234375
ACTIVE_CREDIT_DAY_OVERDUE_MAX,14.895305824279784
CC_SK_DPD_MAX,15.920828151702882
CC_SK_DPD_DEF_SUM,16.708554077148438
NAME_CONTRACT_STATUS_Completed,16.878333950042723
NEW_RATIO_BURO_CNT_CREDIT_PROLONG_SUM,17.571101570129393
CC_AMT_INST_MIN_REGULARITY_MIN,18.19643783569336
FLAG_OWN_CAR,18.457600402832032
CC_CNT_DRAWINGS_POS_CURRENT_MIN,21.214009952545165
REG_REGION_NOT_WORK_REGION,21.2233980178833
FLAG_EMAIL,21.28070411682129
ACTIVE_CNT_CREDIT_PROLONG_SUM,22.1717679977417
PREV_NAME_TYPE_SUITE_Other_A_MEAN,22.94135217666626
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,24.419364166259765
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,25.404203987121583
HOUSETYPE_MODE,26.073668003082275
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,26.382279777526854
CLOSED_CREDIT_TYPE_Microloan_MEAN,26.385699844360353
NEW_RATIO_BURO_CREDIT_TYPE_Car loan_MEAN,26.51991424560547
CC_SK_DPD_DEF_VAR,26.531588077545166
NEW_RATIO_BURO_DAYS_ENDDATE_FACT_MEAN,27.414735889434816
CC_MONTHS_BALANCE_MAX,27.87896819114685
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,27.969650268554688
NEW_INC_BY_ORG,28.366891956329347
CC_AMT_TOTAL_RECEIVABLE_VAR,29.300433826446532
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,30.13431830406189
CC_AMT_DRAWINGS_CURRENT_MIN,32.0877459526062
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,33.12684774398804
PREV_NAME_GOODS_CATEGORY_Auto Accessories_MEAN,33.533211898803714
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,36.64832201004028
NEW_LIVE_IND_KURT,37.50131206512451
NEW_RATIO_PREV_AMT_DOWN_PAYMENT_MIN,38.481839942932126
CC_SK_DPD_VAR,41.26755609512329
CC_MONTHS_BALANCE_MIN,43.28799991607666
AMT_REQ_CREDIT_BUREAU_WEEK,44.79530048370361
AMT_REQ_CREDIT_BUREAU_DAY,45.62021813392639
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,46.73424997329712
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,46.81127214431763
CC_SK_DPD_MEAN,51.332875919342044
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,51.90272617340088
REG_CITY_NOT_WORK_CITY,52.39536237716675
BURO_MONTHS_BALANCE_MAX_MAX,53.54398937225342
ELEVATORS_MEDI,55.385040283203125
NONLIVINGAPARTMENTS_MODE,55.974786376953126
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,56.09933586120606
NEW_RATIO_PREV_RATE_DOWN_PAYMENT_MAX,56.31245050430298
CC_AMT_TOTAL_RECEIVABLE_MIN,56.53371362686157
NEW_RATIO_PREV_RATE_DOWN_PAYMENT_MIN,56.658229446411134
CC_CNT_INSTALMENT_MATURE_CUM_MAX,56.92607641220093
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,59.29016580581665
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,60.41918411254883
CC_AMT_TOTAL_RECEIVABLE_SUM,60.51636428833008
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,61.01310548782349
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,62.85529375076294
CC_AMT_DRAWINGS_POS_CURRENT_MIN,62.980583381652835
PREV_NAME_SELLER_INDUSTRY_Auto technology_MEAN,64.7418776512146
CLOSED_MONTHS_BALANCE_MAX_MAX,65.54126405715942
PREV_NAME_TYPE_SUITE_Other_B_MEAN,66.65447225570679
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,67.25808029174804
BURO_CREDIT_DAY_OVERDUE_MAX,68.26281185150147
CLOSED_CREDIT_TYPE_Car loan_MEAN,68.84367198944092
NEW_RATIO_BURO_AMT_ANNUITY_MAX,71.62742614746094
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,71.86607131958007
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,73.22016401290894
NEW_RATIO_BURO_AMT_CREDIT_SUM_DEBT_MEAN,73.54153537750244
LIVE_CITY_NOT_WORK_CITY,73.90973768234252
CC_SK_DPD_SUM,74.28520359992982
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,75.63745946884156
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,76.77072019577027
REFUSED_AMT_DOWN_PAYMENT_MIN,76.882581615448
REFUSED_AMT_DOWN_PAYMENT_MEAN,80.61885223388671
FLAG_OWN_REALTY,80.64071025848389
NEW_LIVE_IND_SUM,80.85744380950928
ELEVATORS_MODE,81.81977548599244
PREV_PRODUCT_COMBINATION_POS mobile without interest_MEAN,84.19894504547119
NONLIVINGAPARTMENTS_MEDI,85.72304620742798
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,87.07724561691285
INSTAL_INSTALLMENTS_DAY_DIFF_MAX,88.31928701400757
CNT_CHILDREN,89.08658571243286
REFUSED_RATE_DOWN_PAYMENT_MIN,90.85131397247315
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,92.08392038345337
FLOORSMIN_MEDI,92.14653635025024
CNT_FAM_MEMBERS,94.37437601089478
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,95.7314980506897
NEW_LIVE_IND_STD,95.86775779724121
NEW_RATIO_BURO_AMT_CREDIT_SUM_DEBT_MIN,99.5801263809204
ACTIVE_CREDIT_TYPE_Car loan_MEAN,100.76694889068604
FLOORSMIN_MODE,103.41863412857056
CC_CNT_INSTALMENT_MATURE_CUM_SUM,104.26129398345947
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,106.04042749404907
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,107.06570892333984
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,107.48185214996337
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,107.77068367004395
NEW_RATIO_BURO_CREDIT_TYPE_Microloan_MEAN,107.93027172088622
NEW_RATIO_PREV_AMT_DOWN_PAYMENT_MEAN,108.32284021377563
NEW_RATIO_BURO_AMT_CREDIT_SUM_DEBT_MAX,110.37049045562745
FLAG_DOCUMENT_8,110.97180995941162
INSTAL_PAYMENT_PERC_MAX,112.00973081588745
FLOORSMAX_MODE,112.04898805618286
CC_AMT_TOTAL_RECEIVABLE_MAX,114.39414358139038
NEW_RATIO_BURO_CREDIT_TYPE_Mortgage_MEAN,117.30886430740357
REFUSED_AMT_DOWN_PAYMENT_MAX,119.21244602203369
PREV_NAME_TYPE_SUITE_Children_MEAN,121.16024827957153
NEW_RATIO_BURO_AMT_CREDIT_SUM_LIMIT_SUM,121.55872402191162
NAME_CONTRACT_STATUS_Active_POS,122.0195140838623
FONDKAPREMONT_MODE,124.15942029953003
CC_MONTHS_BALANCE_MEAN,131.20739765167235
CC_CNT_DRAWINGS_POS_CURRENT_SUM,134.51294231414795
REFUSED_RATE_DOWN_PAYMENT_MAX,135.8686547279358
CC_MONTHS_BALANCE_SUM,135.91450033187866
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,136.5044701576233
CLOSED_CNT_CREDIT_PROLONG_COUNT,138.9825915336609
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,140.5604778289795
CC_AMT_TOTAL_RECEIVABLE_MEAN,142.78201332092286
FLAG_PHONE,142.9297814846039
CC_AMT_RECIVABLE_SUM,143.39267988204955
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,146.33075971603392
POS_CNT_INSTALMENT_FUTURE_MIN,147.02740564346314
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,149.9145975112915
NEW_RATIO_PREV_RATE_DOWN_PAYMENT_MEAN,150.33996210098266
REFUSED_RATE_DOWN_PAYMENT_MEAN,150.8001130104065
REFUSED_HOUR_APPR_PROCESS_START_MAX,154.9683123588562
FLOORSMIN_AVG,155.07093992233277
NAME_CONTRACT_STATUS_Completed_POS,155.3713210105896
CC_AMT_INST_MIN_REGULARITY_SUM,157.6326379776001
CC_MONTHS_BALANCE_VAR,158.50768508911133
AMT_REQ_CREDIT_BUREAU_MON,159.88147773742676
ACTIVE_MONTHS_BALANCE_MAX_MAX,160.91730184555053
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,161.70706644058228
CC_AMT_BALANCE_SUM,164.14475412368773
PREV_NAME_GOODS_CATEGORY_Sport and Leisure_MEAN,164.47562456130981
YEARS_BUILD_MEDI,168.32414379119874
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,169.42696390151977
CC_AMT_DRAWINGS_POS_CURRENT_VAR,171.4956810951233
NEW_RATIO_PREV_AMT_DOWN_PAYMENT_MAX,174.76327486038207
CC_AMT_DRAWINGS_CURRENT_MAX,179.1192018508911
CC_AMT_INST_MIN_REGULARITY_MAX,180.39692802429198
ENTRANCES_MODE,181.77495679855346
NONLIVINGAPARTMENTS_AVG,182.1401819229126
NEW_RATIO_BURO_AMT_ANNUITY_MEAN,183.5103286743164
CC_AMT_INST_MIN_REGULARITY_MEAN,184.7893458366394
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,185.3611276626587
REGION_RATING_CLIENT,186.36896867752074
closed_loans,187.16700954437255
CC_CNT_INSTALMENT_MATURE_CUM_VAR,191.48587322235107
REFUSED_AMT_APPLICATION_MEAN,194.0969883918762
BURO_CREDIT_ACTIVE_Sold_MEAN,195.51509809494019
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,197.95233249664307
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,200.7818072319031
ENTRANCES_MEDI,203.8704306602478
ELEVATORS_AVG,208.59074172973632
CC_AMT_DRAWINGS_POS_CURRENT_MAX,209.1340019226074
PREV_CHANNEL_TYPE_Regional / Local_MEAN,209.56289186477662
PREV_PRODUCT_COMBINATION_Card Street_MEAN,211.208673286438
DAYS_EMPLOYED_PERC,211.98260707855223
FLOORSMAX_MEDI,218.61557779312133
REFUSED_AMT_CREDIT_MEAN,221.4045841217041
PREV_CODE_REJECT_REASON_HC_MEAN,221.75923957824708
NAME_TYPE_SUITE,222.46667203903198
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,224.61042232513427
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,226.6498990058899
LIVINGAPARTMENTS_MODE,226.8980442047119
NONLIVINGAREA_MEDI,227.68466815948486
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,227.79479637145997
REFUSED_AMT_GOODS_PRICE_MAX,230.12221326828003
CC_CNT_DRAWINGS_CURRENT_SUM,230.4434103012085
INSTAL_INSTALLMENTS_DIFF_VAR,232.03533096313475
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,241.2754340171814
AMT_CREDIT_AMT_CREDIT,242.99210777282715
REFUSED_AMT_GOODS_PRICE_MIN,244.38196697235108
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,245.04012308120727
YEARS_BUILD_AVG,246.21841230392457
CLOSED_CREDIT_TYPE_Credit card_MEAN,247.39034767150878
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,248.31141138076782
CC_AMT_RECIVABLE_VAR,248.32114286422728
CC_AMT_PAYMENT_CURRENT_MIN,249.509108543396
CC_AMT_DRAWINGS_CURRENT_SUM,252.95037593841553
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,258.16700925827024
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,261.18079681396483
INSTAL_INSTALLMENTS_DIFF_INSTALLMENTS_DIFF_MEAN,265.5722985267639
CC_AMT_RECIVABLE_MIN,266.79415903091433
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",267.1237092971802
REFUSED_AMT_APPLICATION_MIN,268.7590274810791
LIVINGAPARTMENTS_AVG,268.8504238128662
LIVINGAPARTMENTS_MEDI,269.0783761978149
FLAG_DOCUMENT_18,269.1255757331848
CC_AMT_RECIVABLE_MAX,269.4062657356262
PREV_NAME_PORTFOLIO_Cards_MEAN,272.6919859886169
NEW_RATIO_PREV_AMT_APPLICATION_MAX,273.24603805541994
CC_CNT_DRAWINGS_POS_CURRENT_VAR,273.9119532585144
POS_COUNT,276.91973485946653
EXT_SOURCE_1_1,279.2007807731628
INSTAL_INSTALLMENTS_DIFF_INSTALLMENTS_DIFF_VAR,280.84780368804934
PREV_CODE_REJECT_REASON_LIMIT_MEAN,280.93734254837034
CC_CNT_DRAWINGS_POS_CURRENT_MAX,281.6374585151672
BURO_AMT_CREDIT_SUM_LIMIT_SUM,283.82171511650085
NEW_RATIO_BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,284.071568107605
PREV_AMT_GOODS_PRICE_MAX,284.12064666748046
BURO_CNT_CREDIT_PROLONG_COUNT,285.9070244789124
CLOSED_CREDIT_TYPE_Consumer credit_MEAN,286.4768642902374
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,286.69582471847536
POS_SK_DPD_MAX,289.1423864364624
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,289.2207549095154
EXT_SOURCE_2_2,291.5400312423706
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,291.7007618904114
REFUSED_APP_CREDIT_PERC_MAX,291.9887445449829
REFUSED_AMT_CREDIT_MAX,292.4082095146179
REFUSED_AMT_APPLICATION_MAX,292.92387495040896
CC_SK_DPD_DEF_MEAN,294.0640326499939
INSTAL_INSTALLMENTS_DIFF_INSTALLMENTS_DIFF_SUM,295.05355615615844
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,296.4942195892334
CLOSED_MONTHS_BALANCE_MIN_MIN,296.5442403793335
previous_loans,298.0215700149536
NEW_RATIO_PREV_APP_CREDIT_PERC_VAR,298.35949602127073
ACTIVE_MONTHS_BALANCE_MIN_MIN,298.79383459091184
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,299.155742931366
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,299.5112650871277
BASEMENTAREA_AVG,301.0334568977356
COMMONAREA_AVG,303.49270992279054
PREV_NAME_PORTFOLIO_XNA_MEAN,304.29749603271483
PREV_PRODUCT_COMBINATION_Cash_MEAN,307.69834365844724
NEW_RATIO_BURO_AMT_CREDIT_SUM_LIMIT_MEAN,312.3331480026245
ENTRANCES_AVG,313.8481632232666
REFUSED_AMT_ANNUITY_MAX,322.91036167144773
BASEMENTAREA_MEDI,323.1087811470032
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,323.56360549926757
ACTIVE_AMT_ANNUITY_MEAN,323.6541308403015
NONLIVINGAREA_MODE,326.38559312820433
COMMONAREA_MODE,326.8377076148987
NEW_RATIO_BURO_MONTHS_BALANCE_MIN_MIN,328.0972904205322
